EFF_DATE,ASOS_AWOS_ID,ASOS_AWOS_TYPE,STATE_CODE,CITY,COUNTRY_CODE,COMMISSIONED_DATE,NAVAID_FLAG,LAT_DEG,LAT_MIN,LAT_SEC,LAT_HEMIS,LAT_DECIMAL,LONG_DEG,LONG_MIN,LONG_SEC,LONG_HEMIS,LONG_DECIMAL,ELEV,SURVEY_METHOD_CODE,PHONE_NO,SECOND_PHONE_NO,SITE_NO,SITE_TYPE_CODE,REMARK
2025/03/20,0A0,AWOS-3PT,NM,TRUTH OR CONSEQUENCES,US,2020/03/23,N,32.0,59.0,24.0,N,32.99,106.0,58.0,3.0,W,-106.9675,429.0,E,575-267-8806,,,,"0A0 AWOS-3PT IS ASSOCIATED WITH SPACEPORT AMERICA ARPT, 9NM9."
2025/03/20,0A9,AWOS-3PT,TN,ELIZABETHTON,US,1992/07/28,N,36.0,22.0,15.96,N,36.3711,82.0,10.0,36.55,W,-82.17681944,1592.5,S,423-543-1801,,22960.2,A,
2025/03/20,0B1,AWOS-AV,ME,BETHEL,US,2009/12/17,N,44.0,25.0,22.68,N,44.42296666,70.0,48.0,28.07,W,-70.80779722,657.0,E,207-512-2516,,7840.0,A,WND/CIG/T/DP UNRELIABLE.; ACTVT AWOS-AV VIA PHONE OR 119.075.
2025/03/20,0CO,AWOS-3,CO,EMPIRE,US,,N,39.0,47.0,40.0,N,39.79444444,105.0,45.0,47.0,W,-105.76305555,12493.0,,,,,,STAND-ALONE FACILITY NOT ASSOCIATED WITH AN AIRPORT OR NAVAID.
2025/03/20,0D8,AWOS-3P,SD,GETTYSBURG,US,,N,44.0,59.0,9.6233,N,44.98600647,99.0,57.0,18.9843,W,-99.95527341,2053.9,S,605-765-0132,,22686.8,A,
2025/03/20,0E0,AWOS-3,NM,MORIARTY,US,2014/08/06,N,34.0,59.0,1.3688,N,34.98371355,105.0,59.0,44.7412,W,-105.99576144,6218.0,S,505-832-9379,,14665.32,A,
2025/03/20,0F2,AWOS-3PT,TX,BOWIE,US,,N,33.0,36.0,3.9275,N,33.60109097,97.0,46.0,24.7031,W,-97.77352863,1087.4,S,940-872-2366,,23469.2,A,
2025/03/20,0G7,AWOS-3,NY,SENECA FALLS,US,2006/03/01,N,42.0,53.0,0.8,N,42.88355555,76.0,46.0,52.2,W,-76.78116666,491.8,S,315-568-5362,,16144.0,A,
2025/03/20,0J4,ASOS,AL,FLORALA,US,,N,31.0,2.0,41.15,N,31.04476388,86.0,18.0,43.0,W,-86.31194444,314.0,S,334-858-4843,,308.5,A,
2025/03/20,0R0,AWOS-3PT,MS,COLUMBIA,US,2013/11/08,N,31.0,17.0,48.9567,N,31.29693241,89.0,48.0,57.3766,W,-89.81593794,248.1,S,601-736-4983,,11191.0,A,
2025/03/20,0R4,AWOS-3,LA,VIDALIA,US,2016/01/20,N,31.0,33.0,49.5,N,31.56375,91.0,30.0,35.3,W,-91.50980555,55.0,,318-336-8028,,7764.1,A,
2025/03/20,0S9,AWOS-3P,WA,PORT TOWNSEND,US,2015/01/08,N,48.0,3.0,29.0,N,48.05805555,122.0,48.0,41.0,W,-122.81138888,106.5,,360-379-1199,,26363.0,A,
2025/03/20,0V4,AWOS-3,VA,BROOKNEAL,US,2013/08/27,N,37.0,8.0,23.65,N,37.13990277,79.0,1.0,1.63,W,-79.01711944,605.0,,434-283-7826,,25658.13,A,
2025/03/20,0V7,AWOS-3PT,AZ,KAYENTA,US,,N,36.0,42.0,52.22,N,36.71450555,110.0,13.0,46.82,W,-110.22967222,5710.0,,928-697-3638,,712.8,A,
2025/03/20,0VG,AWOS-3,VA,JONESVILLE,US,2012/05/25,N,36.0,39.0,27.4115,N,36.6576143,83.0,12.0,52.734,W,-83.21464833,1394.5,S,276-346-3333,,25836.4,A,
2025/03/20,0W3,AWOS-3PT,MD,CHURCHVILLE,US,2023/12/11,N,39.0,34.0,12.76,N,39.57021111,76.0,12.0,25.64,W,-76.20712222,441.0,,667-340-6003,,8491.0,A,
2025/03/20,10G,AWOS-3,OH,MILLERSBURG,US,2000/05/01,N,40.0,32.0,12.1245,N,40.53670125,81.0,57.0,21.3882,W,-81.95594116,1226.5,E,330-674-6279,,18205.1,A,
2025/03/20,10U,AWOS-3PT,NV,OWYHEE,US,2017/10/12,N,41.0,57.0,16.93,N,41.95470277,116.0,10.0,58.42,W,-116.18289444,5377.2,E,208-696-6007,,13106.0,A,
2025/03/20,11R,AWOS-3,TX,BRENHAM,US,,N,30.0,13.0,10.8318,N,30.2196755,96.0,22.0,27.85,W,-96.37440277,317.7,S,979-836-2303,,23485.1,A,
2025/03/20,12J,AWOS-3PT,AL,BREWTON,US,2005/04/15,N,31.0,3.0,9.3,N,31.05258333,87.0,3.0,59.9,W,-87.06663888,98.8,E,251-809-2987,,186.0,A,
2025/03/20,12N,ASOS,NJ,ANDOVER,US,,N,41.0,0.0,31.031,N,41.00861972,74.0,44.0,16.922,W,-74.73803388,582.7,,609-325-2295,,13478.1,A,
2025/03/20,13K,AWOS-3PT,KS,EUREKA,US,,N,37.0,51.0,6.7815,N,37.85188375,96.0,17.0,34.5256,W,-96.29292377,1199.7,S,620-583-2760,,6589.0,A,
2025/03/20,14Y,AWOS-3,MN,LONG PRAIRIE,US,,N,45.0,53.0,51.339,N,45.89759416,94.0,52.0,25.042,W,-94.87362277,1331.8,E,320-732-3508,,10797.3,A,
2025/03/20,15J,AWOS-3PT,GA,ADEL,US,2024/05/16,N,31.0,8.0,17.2402,N,31.13812227,83.0,27.0,13.5093,W,-83.45375258,231.0,S,229-896-4223,,3611.0,A,
2025/03/20,15M,AWOS-3PT,MS,IUKA,US,2022/06/08,N,34.0,46.0,28.3,N,34.77452777,88.0,10.0,3.6,W,-88.16766666,603.5,E,662-424-8004,,11276.0,A,
2025/03/20,16A,AWOS-3P,AK,NUNAPITCHUK,US,2013/10/15,N,60.0,54.0,13.3469,N,60.90370747,162.0,26.0,41.1566,W,-162.44476572,17.4,,907-868-7319,,50552.1,A,
2025/03/20,16G,AWOS-3,OH,TIFFIN,US,2007/08/17,N,41.0,5.0,38.6,N,41.09405555,83.0,12.0,45.0,W,-83.2125,785.9,E,419-443-1043,,18565.0,A,
2025/03/20,16J,AWOS-3PT,GA,DAWSON,US,2024/11/18,N,31.0,44.0,36.59,N,31.74349722,84.0,25.0,1.17,W,-84.41699166,306.0,E,229-222-5289,,3756.0,A,
2025/03/20,17G,AWOS-3,OH,BUCYRUS,US,2007/08/17,N,40.0,47.0,3.55,N,40.78431944,82.0,58.0,27.0,W,-82.97416666,998.0,E,419-562-0279,,17656.0,A,
2025/03/20,17J,AWOS-3PT,GA,DONALSONVILLE,US,2017/06/22,N,31.0,0.0,13.6429,N,31.00378969,84.0,52.0,45.8661,W,-84.87940725,132.4,S,229-524-0001,,3758.0,A,
2025/03/20,18A,AWOS-3PT,GA,CANON,US,2010/02/11,N,34.0,20.0,25.3,N,34.34036111,83.0,7.0,50.9,W,-83.13080555,890.0,,706-245-1097,,3703.6,A,
2025/03/20,18AZ,AWOS-1,AZ,CAREFREE,US,,N,33.0,49.0,5.141,N,33.81809472,111.0,53.0,52.527,W,-111.89792416,,,480-488-7882,,642.87,A,AWOS ASSOCIATED WITH SKY RANCH AT CAREFREE AIRPORT (18AZ).
2025/03/20,18CN,AWOS-AV,CA,SAN FRANCISCO,US,2016/11/10,N,37.0,45.0,53.9,N,37.76497222,122.0,23.0,25.2,W,-122.39033333,156.0,S,415-514-4209,,2187.51,H,
2025/03/20,18H,AWOS-3,LA,LUCIUS,US,2017/03/02,N,26.0,7.0,42.0,N,26.12833333,92.0,2.0,0.0,W,-92.03333333,190.0,E,832-636-9295,,,,STAND-ALONE FACILITY IN GULF OF MEXICO NOT ASSOCIATED WITH AN AIRPORT OR NAVAID.
2025/03/20,19S,AWOS-3P,KS,SUBLETTE,US,2016/11/08,N,37.0,29.0,48.7,N,37.49686111,100.0,49.0,58.5,W,-100.83291666,2910.7,E,620-290-3873,,6917.0,A,
2025/03/20,1A5,AWOS-3P,NC,FRANKLIN,US,2023/04/27,N,35.0,13.0,21.89,N,35.22274722,83.0,24.0,53.84,W,-83.41495555,2004.1,S,828-349-3156,,16731.1,A,
2025/03/20,1A6,AWOS-3,KY,MIDDLESBORO,US,1994/11/10,N,36.0,36.0,31.3442,N,36.60870672,83.0,44.0,12.7315,W,-83.73686986,1142.1,S,606-248-3095,,7274.0,A,
2025/03/20,1A9,AWOS-3P,AL,PRATTVILLE,US,2014/04/24,N,32.0,26.0,14.61,N,32.43739166,86.0,30.0,35.28,W,-86.5098,204.0,S,334-358-0919,,481.91,A,
2025/03/20,1AF,ASOS,CA,BARSTOW,US,2018/05/18,N,35.0,21.0,10.482,N,35.35291166,116.0,53.0,23.2041,W,-116.88977891,3027.4,E,,,,,1AF ASOS IS ASSOCIATED WITH GOLDSTONE /GTS/ 00CA.; (COMM_DECOMM_DATE) AWSS
2025/03/20,1B1,AWOS-3,NY,HUDSON,US,1991/09/27,N,42.0,17.0,28.7,N,42.29130555,73.0,42.0,37.2,W,-73.71033333,198.1,E,518-828-2577,,15457.1,A,
2025/03/20,1B9,AWOS-3PT,MA,MANSFIELD,US,2024/06/07,N,42.0,0.0,7.61,N,42.00211388,71.0,11.0,56.24,W,-71.19895555,120.0,E,774-372-2047,,9054.0,A,
2025/03/20,1D1,AWOS-3P,SD,MILBANK,US,2021/12/02,N,45.0,13.0,42.26,N,45.22840555,96.0,33.0,46.52,W,-96.56292222,1119.0,E,605-438-2088,,22736.0,A,
2025/03/20,1D8,AWOS-3P,SD,REDFIELD,US,,N,44.0,51.0,16.32,N,44.85453333,98.0,31.0,42.11,W,-98.52836388,1304.0,E,605-475-1877,,22778.0,A,
2025/03/20,1F0,AWOS-3,OK,ARDMORE,US,1983/08/19,N,34.0,9.0,2.7502,N,34.15076394,97.0,7.0,27.1068,W,-97.12419633,838.8,S,580-226-1536,,18796.0,A,
2025/03/20,1G0,AWOS-3,OH,BOWLING GREEN,US,2006/01/23,N,41.0,23.0,27.6,N,41.391,83.0,37.0,48.5,W,-83.63013888,672.9,E,419-354-1415,,17620.0,A,
2025/03/20,1G3,AWOS-2,OH,KENT,US,2019/04/04,N,41.0,9.0,25.0,N,41.15694444,81.0,25.0,2.0,W,-81.41722222,1111.0,E,330-346-1497,,18061.0,A,
2025/03/20,1G4,AWOS-3PT,AZ,PEACH SPRINGS,US,,N,35.0,59.0,19.72,N,35.98881111,113.0,48.0,54.71,W,-113.81519722,4763.0,E,928-237-1354,,749.0,A,
2025/03/20,1H2,AWOS-3PT,IL,EFFINGHAM,US,1992/12/23,N,39.0,4.0,13.6,N,39.07044444,88.0,32.0,0.7,W,-88.53352777,585.2,E,217-536-5976,,4614.0,A,
2025/03/20,1K1,AWOS-2,KS,BENTON,US,2014/09/18,N,37.0,46.0,28.0,N,37.77444444,97.0,6.0,47.6,W,-97.11322222,1364.0,E,316-530-6004,,6492.5,A,
2025/03/20,1K8,AWOS-3PT,OK,KETCHUM,US,2023/03/28,N,36.0,32.0,33.37,N,36.54260277,95.0,0.0,42.64,W,-95.01184444,770.0,E,918-782-2047,,19046.02,A,
2025/03/20,1M4,AWOS-3PT,AL,HALEYVILLE,US,2007/10/31,N,34.0,16.0,59.3,N,34.28313888,87.0,35.0,55.0,W,-87.59861111,929.8,E,205-486-0035,,363.0,A,(COMM_DECOMM_DATE) AWSS
2025/03/20,1M5,AWOS-3PT,TN,PORTLAND,US,1993/11/18,N,36.0,35.0,44.045,N,36.59556805,86.0,28.0,40.7715,W,-86.47799208,783.2,S,615-325-4971,,23154.1,A,
2025/03/20,1O2,AWOS-3,CA,LAKEPORT,US,1995/08/16,N,38.0,59.0,20.17,N,38.98893611,122.0,53.0,43.1,W,-122.89530555,1378.0,S,707-262-0380,,1743.0,A,
2025/03/20,1P1,AWOS-3,NH,PLYMOUTH,US,,N,43.0,46.0,38.0,N,43.77722222,71.0,45.0,22.0,W,-71.75611111,505.0,E,603-536-1698,,13383.0,A,
2025/03/20,1R7,AWOS-3T,MS,BROOKHAVEN,US,2006/04/14,N,31.0,36.0,20.7,N,31.60575,90.0,24.0,25.3,W,-90.40702777,492.0,S,601-833-3209,,11154.0,A,
2025/03/20,1R8,AWOS-3PT,AL,BAY MINETTE,US,2020/09/29,N,30.0,52.0,8.62,N,30.86906111,87.0,49.0,6.23,W,-87.81839722,223.0,S,251-580-5103,,155.0,A,
2025/03/20,1S3,AWOS-AV,MT,FORSYTH,US,2011/09/08,N,46.0,16.0,10.16,N,46.26948888,106.0,37.0,10.47,W,-106.619575,2727.6,,406-346-2571,,12357.0,A,
2025/03/20,1S5,AWOS-3PT,WA,SUNNYSIDE,US,2014/05/19,N,46.0,19.0,43.5327,N,46.32875908,119.0,58.0,24.6748,W,-119.97352077,752.9,,509-836-2384,,26428.0,A,
2025/03/20,1U7,AWOS-3,ID,PARIS,US,,N,42.0,15.0,1.6,N,42.25044444,111.0,19.0,51.0,W,-111.33083333,5935.0,,208 847 0613,,4280.0,A,
2025/03/20,1V6,AWOS-3,CO,CANON CITY,US,2002/08/15,N,38.0,25.0,42.2,N,38.42838888,105.0,6.0,21.6,W,-105.106,5442.4,E,(719) 784-2014,,2532.0,A,
2025/03/20,20U,AWOS-3,ND,BEACH,US,,N,46.0,55.0,30.6,N,46.92516666,103.0,58.0,55.4,W,-103.98205555,2755.9,E,701-872-9225,,17256.1,A,
2025/03/20,20V,AWOS-3,CO,KREMMLING,US,2003/07/08,N,40.0,3.0,22.6129,N,40.05628136,106.0,22.0,7.656,W,-106.36879333,7399.7,S,970-724-9659,,2649.0,A,
2025/03/20,21D,AWOS-3,MN,ST PAUL,US,2008/05/09,N,44.0,59.0,49.908,N,44.99719666,92.0,51.0,13.272,W,-92.85368666,932.7,E,651-779-5949,,10973.0,A,
2025/03/20,22L,AWOS-3,IN,INDIANAPOLIS,US,,N,39.0,47.0,22.67,N,39.78963055,86.0,9.0,45.66,W,-86.16268333,901.0,E,317-964-9799,,,,22L AWOS IS ASSOCIATED WITH AIRPORT 81II.
2025/03/20,22N,AWOS-3PT,PA,LEHIGHTON,US,2005/05/13,N,40.0,48.0,41.5548,N,40.811543,75.0,45.0,53.1534,W,-75.76476483,534.0,,570-386-3423,,20746.3,A,
2025/03/20,24A,AWOS-3PT,NC,SYLVA,US,2016/09/15,N,35.0,18.0,56.34,N,35.31565,83.0,12.0,25.71,W,-83.20714166,2835.0,E,828-631-3389,,17148.5,A,
2025/03/20,24J,AWOS-3,FL,LIVE OAK,US,2005/07/28,N,30.0,18.0,1.4,N,30.30038888,83.0,1.0,27.8,W,-83.02438888,103.3,E,386-362-1731,,3305.1,A,
2025/03/20,26N,AWOS-AV,NJ,OCEAN CITY,US,2018/05/24,N,39.0,15.0,49.78,N,39.26382777,74.0,36.0,20.31,W,-74.60564166,5.0,E,609-398-0705,,14109.0,A,
2025/03/20,27K,AWOS-3,KY,GEORGETOWN,US,1997/05/05,N,38.0,14.0,20.4716,N,38.23901988,84.0,26.0,1.0582,W,-84.43362727,925.7,S,502-867-1564,,7152.1,A,
2025/03/20,28J,AWOS-3,FL,PALATKA,US,,N,29.0,39.0,30.1769,N,29.65838247,81.0,41.0,22.211,W,-81.68950305,47.8,E,386-312-2212,,3421.0,A,
2025/03/20,2A0,AWOS-3,TN,DAYTON,US,1992/05/21,N,35.0,28.0,54.17,N,35.48171388,84.0,55.0,55.9,W,-84.93219444,714.0,,423-775-4695,,22941.1,A,
2025/03/20,2A9,AWOS-3P,AK,KOTLIK,US,2022/03/09,N,63.0,2.0,0.13,N,63.03336944,163.0,31.0,56.25,W,-163.53229166,43.0,E,907-269-2701,,50427.61,A,
2025/03/20,2C7,AWOS-3P,AK,SHAKTOOLIK,US,,N,64.0,22.0,15.9,N,64.37108333,161.0,13.0,26.3,W,-161.22397222,27.3,E,907-955-3896,,50697.0,A,
2025/03/20,2C8,AWOS-3,ND,CAVALIER,US,,N,48.0,47.0,1.4,N,48.78372222,97.0,37.0,55.1,W,-97.63197222,892.1,E,701-265-8050,,17285.0,A,
2025/03/20,2D5,AWOS-3,ND,OAKES,US,,N,46.0,10.0,23.2142,N,46.17311505,98.0,4.0,47.6032,W,-98.07988977,1334.9,E,701-742-3991,,17435.2,A,
2025/03/20,2G2,AWOS-3,OH,STEUBENVILLE,US,2021/10/21,N,40.0,21.0,52.7685,N,40.36465791,80.0,42.0,14.0642,W,-80.70390672,1210.0,E,740-275-4862,,18562.0,A,
2025/03/20,2G4,AWOS-3,MD,OAKLAND,US,,N,39.0,34.0,57.67,N,39.58268611,79.0,20.0,30.55,W,-79.34181944,2973.0,E,301-746-8443,,8604.1,A,
2025/03/20,2G9,AWOS-3P,PA,SOMERSET,US,2014/09/04,N,40.0,2.0,24.51,N,40.04014166,79.0,0.0,56.85,W,-79.01579166,2222.0,,814-443-2114,,21497.0,A,
2025/03/20,2I0,AWOS-3,KY,MADISONVILLE,US,1994/10/28,N,37.0,21.0,29.3078,N,37.35814105,87.0,23.0,51.68,W,-87.39768888,418.5,S,270-821-4554,,7259.0,A,
2025/03/20,2IS,AWOS-3PT,FL,CLEWISTON,US,,N,26.0,44.0,20.45,N,26.73901388,81.0,3.0,9.68,W,-81.05268888,19.9,E,863-983-7020,,3118.0,A,
2025/03/20,2J3,AWOS-3PT,GA,LOUISVILLE,US,2017/04/20,N,32.0,59.0,19.69,N,32.98880277,82.0,23.0,13.14,W,-82.38698333,317.9,E,478-625-8303,,3880.3,A,
2025/03/20,2J5,AWOS-3PT,GA,MILLEN,US,2018/07/19,N,32.0,53.0,28.91,N,32.89136388,81.0,57.0,58.97,W,-81.96638055,224.0,E,478-982-4562,,3922.1,A,
2025/03/20,2J9,AWOS-3PT,FL,QUINCY,US,,N,30.0,35.0,55.44,N,30.59873333,84.0,33.0,17.83,W,-84.55495277,228.0,S,850-627-6264,,3459.0,A,
2025/03/20,2LS,AWOS-3PT,LA,GALLIANO,US,,N,29.0,24.0,49.0,N,29.41361111,90.0,17.0,44.0,W,-90.29555555,-2.0,S,985-475-5178,,,,AWOS IS ASSOCD WITH HELI 2LS0.
2025/03/20,2M2,AWOS-3,TN,LAWRENCEBURG,US,1993/11/26,N,35.0,14.0,13.8539,N,35.23718163,87.0,15.0,40.056,W,-87.26112666,938.8,S,931-766-1585,,23053.3,A,
2025/03/20,2M8,AWOS-3PT,TN,MILLINGTON,US,2023/12/04,N,35.0,16.0,35.49,N,35.276525,89.0,55.0,50.84,W,-89.93078888,241.0,E,901-873-0903,,23103.0,A,
2025/03/20,2O1,AWOS-2,CA,QUINCY,US,2015/03/05,N,39.0,56.0,37.78,N,39.94382777,120.0,56.0,27.28,W,-120.94091111,3408.0,E,530-283-6528,,2074.0,A,
2025/03/20,2P2,AWOS-3PT,WI,WASHINGTON ISLAND,US,2016/07/21,N,45.0,23.0,9.88,N,45.38607777,86.0,55.0,23.6,W,-86.92322222,673.0,,920 847 3024,,27652.0,A,
2025/03/20,2R2,AWOS-3PT,IN,INDIANAPOLIS,US,2009/12/09,N,39.0,45.0,3.9306,N,39.75109183,86.0,28.0,23.4445,W,-86.47317902,897.8,E,317-718-4872,,5370.9,A,
2025/03/20,2R9,AWOS-3PT,TX,KENEDY,US,2018/05/31,N,28.0,49.0,36.46,N,28.82679444,97.0,52.0,3.16,W,-97.86754444,306.0,E,830-583-8080,,24149.11,A,
2025/03/20,2S8,AWOS-2,WA,WILBUR,US,2015/04/30,N,47.0,45.0,8.29,N,47.75230277,118.0,44.0,51.62,W,-118.74767222,2183.0,,509-647-0337,,26471.0,A,
2025/03/20,2V5,AWOS-3,CO,WRAY,US,2009/12/30,N,40.0,6.0,1.164,N,40.10032333,102.0,14.0,27.456,W,-102.24096,3677.4,S,970-332-5930,,2762.0,A,
2025/03/20,2V6,AWOS-3,CO,YUMA,US,2014/11/13,N,40.0,6.0,16.8539,N,40.10468163,102.0,42.0,45.9984,W,-102.71277733,4121.3,S,970-848-3007,,2765.0,A,
2025/03/20,2W6,AWOS-3,MD,LEONARDTOWN,US,2005/07/07,N,38.0,18.0,58.62,N,38.31628333,76.0,32.0,34.14,W,-76.54281666,107.0,E,301-373-6514,,8589.0,A,
2025/03/20,32S,AWOS-AV,MT,STEVENSVILLE,US,,N,46.0,31.0,45.6,N,46.52933333,114.0,3.0,25.4,W,-114.05705555,3537.0,E,406-777-9884,,12513.0,A,
2025/03/20,33N,AWOS-3,DE,DOVER/CHESWOLD,US,2018/09/13,N,39.0,13.0,5.05,N,39.21806944,75.0,35.0,59.57,W,-75.59988055,52.0,E,302-571-6012,,2967.1,A,
2025/03/20,33V,AWOS-3,CO,WALDEN,US,2002/10/03,N,40.0,44.0,43.45,N,40.74540277,106.0,16.0,31.32,W,-106.27536666,8150.0,E,970-723-4513,,2750.0,A,
2025/03/20,35A,AWOS-3PT,SC,UNION,US,,N,34.0,41.0,5.67,N,34.68490833,81.0,38.0,31.527,W,-81.64209083,584.0,E,864-427-1514,,22555.0,A,
2025/03/20,36K,AWOS-3PT,KS,LAKIN,US,2021/02/25,N,37.0,58.0,14.42,N,37.97067222,101.0,15.0,19.4,W,-101.25538888,3101.0,E,620-355-4004,,6715.0,A,
2025/03/20,38S,AWOS-AV,MT,DEER LODGE,US,2013/07/03,N,46.0,23.0,20.34,N,46.38898333,112.0,46.0,9.53,W,-112.76931388,4674.4,,406-846-1177,,12318.0,A,
2025/03/20,3AU,AWOS-3P,KS,AUGUSTA,US,2014/08/26,N,37.0,40.0,17.9,N,37.67163888,97.0,4.0,40.3,W,-97.07786111,1328.0,,316-733-6696,,6483.1,A,
2025/03/20,3B1,AWOS-A,ME,GREENVILLE,US,,N,45.0,27.0,47.1123,N,45.46308675,69.0,33.0,18.9738,W,-69.5552705,1388.0,S,207-695-2581,,8014.0,A,COORDS & ELEV FM 3RD PARTY 28 JUN 2013.; ALTIM RELAYED THROUGH UNICOM ON REQUEST.
2025/03/20,3D2,AWOS-3PT,WI,EPHRAIM,US,2014/09/18,N,45.0,8.0,5.3147,N,45.13480963,87.0,11.0,17.0826,W,-87.1880785,770.5,S,920-854-5559,,27184.0,A,
2025/03/20,3F3,AWOS-3PT,LA,MANSFIELD,US,2016/07/21,N,32.0,4.0,18.09,N,32.07169166,93.0,45.0,50.58,W,-93.76405,315.0,S,318-872-3537,,7632.0,A,
2025/03/20,3I2,AWOS-3,WV,POINT PLEASANT,US,1989/04/13,N,38.0,54.0,52.685,N,38.91463472,82.0,5.0,54.884,W,-82.09857888,643.4,E,304-675-4618,,26850.0,A,
2025/03/20,3J1,AWOS-3PT,SC,RIDGELAND,US,2024/09/11,N,32.0,29.0,55.2,N,32.49866666,80.0,59.0,27.4,W,-80.99094444,88.6,E,843-547-8419,,22500.0,A,
2025/03/20,3K3,AWOS-3PT,KS,SYRACUSE,US,,N,37.0,59.0,54.899,N,37.99858305,101.0,44.0,51.388,W,-101.74760777,3326.1,S,620-384-5869,,6922.0,A,
2025/03/20,3K7,AWOS-3P,KS,LEOTI,US,2024/01/11,N,38.0,27.0,23.63,N,38.45656388,101.0,21.0,9.84,W,-101.35273333,3297.0,,620-214-5151,,6728.61,A,
2025/03/20,3K8,AWOS-3PT,KS,COLDWATER,US,,N,37.0,13.0,21.06,N,37.22251666,99.0,19.0,47.96,W,-99.32998888,2090.0,S,620-582-5988,,6545.1,A,
2025/03/20,3L4,AWOS-3,LA,LITTLE PECAN,US,,N,29.0,47.0,42.5859,N,29.79516275,92.0,48.0,0.4145,W,-92.80011513,8.0,S,337-538-2321,,,,3L4 AWOS-3 IS ASSOCIATED WITH LITTLE PECAN ISLAND AIRPORT 3LA4.
2025/03/20,3LF,AWOS-3PT,IL,LITCHFIELD,US,,N,39.0,9.0,45.0,N,39.1625,89.0,40.0,28.7,W,-89.67463888,677.0,,217-324-4735,,4824.0,A,
2025/03/20,3N8,AWOS-3PT,MN,MAHNOMEN,US,2013/12/12,N,47.0,15.0,37.18,N,47.26032777,95.0,55.0,41.11,W,-95.92808611,1243.0,E,218-936-2507,,10807.5,A,
2025/03/20,3R7,AWOS-3PT,LA,JENNINGS,US,,N,30.0,14.0,33.7165,N,30.24269902,92.0,40.0,24.5974,W,-92.67349927,22.8,,337-824-0517,,7574.0,A,
2025/03/20,3S8,AWOS-3PT,OR,GRANTS PASS,US,2016/11/11,N,42.0,30.0,32.5696,N,42.50904711,123.0,23.0,19.2408,W,-123.388678,1105.0,S,541-955-3392,,19457.1,A,
2025/03/20,3T5,AWOS-3,TX,LA GRANGE,US,,N,29.0,54.0,28.7,N,29.90797222,96.0,57.0,0.0,W,-96.95,324.0,S,979-242-5777,,24179.01,A,
2025/03/20,3U3,AWOS-3PT,MT,ANACONDA,US,2009/03/10,N,46.0,9.0,5.85,N,46.151625,112.0,52.0,5.81,W,-112.86828055,5018.0,E,406-563-8275,,12243.0,A,
