EFF_DATE,HP_NAME,HP_NO,STATE_CODE,COUNTRY_CODE,CHARTING_TYPE_DESC
2025/03/20,ADUGE WP*CA*K2,1,CA,US,SPECIAL IAP
2025/03/20,ADUTE WP*ND*K3,1,ND,US,IAP
2025/03/20,ADUVE WP*WA*K1,1,WA,US,SPECIAL IAP
2025/03/20,ADUWU WP*NE*K3,1,NE,US,IAP
2025/03/20,ADVAY INT*IN*K5,1,IN,US,NOT REQUIRED
2025/03/20,ADVLL WP*PR*TJ,1,PR,US,MILITARY IAP
2025/03/20,AECIA WP*CA*K2,1,CA,US,MILITARY IAP
2025/03/20,AFAYA WP*IN*K5,1,IN,US,SPECIAL IAP
2025/03/20,AFGUZ WP*IL*K5,1,IL,US,IAP
2025/03/20,AFLAK WP*OH*K5,1,OH,US,SPECIAL IAP
2025/03/20,AFLIH WP*KS*K3,1,KS,US,IAP
2025/03/20,AFORD INT*OK*K4,1,OK,US,IAP
2025/03/20,AFRED WP*VT*K6,1,VT,US,IAP
2025/03/20,AFSIC WP*NE*K3,1,NE,US,IAP
2025/03/20,AFUWA WP*TX*K4,1,TX,US,SPECIAL IAP
2025/03/20,AFVEK WP*AK*PA,1,AK,US,IAP
2025/03/20,AGACI INT*IN*K5,2,IN,US,IAP
2025/03/20,AGACI WP*IN*K5,1,IN,US,IAP
2025/03/20,AGAIN WP*TX*K4,1,TX,US,STAR
2025/03/20,AGAIN WP*TX*K4,2,TX,US,STAR
2025/03/20,AGAST INT*MO*K3,1,MO,US,IAP
2025/03/20,AGAZY INT*TX*K4,1,TX,US,SPECIAL IAP
2025/03/20,AGEGE WP*AR*K4,1,AR,US,IAP
2025/03/20,AGEKY WP*NE*K3,1,NE,US,IAP
2025/03/20,AGENS WP*IA*K3,1,IA,US,IAP
2025/03/20,AGEPE WP*AK*PA,1,AK,US,IAP
2025/03/20,AGHAN WP*NE*K3,1,NE,US,IAP
2025/03/20,AGIGY WP*TN*K7,1,TN,US,IAP
2025/03/20,AGIVE WP*AK*PA,1,AK,US,IAP
2025/03/20,AGODY WP*NORTHERN MARIANA ISLANDS*K2,1,,MP,IAP
2025/03/20,AGOLY WP*MARSHALL ISLANDS*K2,1,,MH,MILITARY IAP
2025/03/20,AGOPY WP*IA*K3,1,IA,US,SPECIAL IAP
2025/03/20,AGUFY WP*SD*K3,1,SD,US,IAP
2025/03/20,AGUSE INT*FL*K7,1,FL,US,MILITARY IAP
2025/03/20,AGUSE WP*FL*K7,2,FL,US,MILITARY IAP
2025/03/20,AGVOY WP*MO*K3,1,MO,US,IAP
2025/03/20,AGXAN INT*AK*PA,1,AK,US,IAP
2025/03/20,AHAMU WP*OK*K4,1,OK,US,IAP
2025/03/20,AHASS WP*TX*K4,1,TX,US,IAP
2025/03/20,AHCUJ WP*AK*PA,1,AK,US,IAP
2025/03/20,AHEIM INT*CA*K2,1,CA,US,IAP
2025/03/20,AHEIM INT*CA*K2,1,CA,US,MILITARY IAP
2025/03/20,AHHUJ WP*NE*K3,1,NE,US,IAP
2025/03/20,AHIDO WP*GA*K7,1,GA,US,IAP
2025/03/20,AHJUN WP*GA*K7,1,GA,US,IAP
2025/03/20,AHLER WP*VA*K6,1,VA,US,IAP
2025/03/20,AHOBY WP*OK*K4,1,OK,US,IAP
2025/03/20,AHOFU WP*SD*K3,1,SD,US,IAP
2025/03/20,AHOTO WP*TX*K4,1,TX,US,IAP
2025/03/20,AHUFU WP*NE*K3,1,NE,US,IAP
2025/03/20,AHUGE WP*TX*K4,1,TX,US,MILITARY IAP
2025/03/20,AIDIN WP*AK*PA,1,AK,US,SPECIAL IAP
2025/03/20,AIKEN NDB*SC,1,SC,US,IAP
2025/03/20,AIMEE INT*TX*K4,1,TX,US,MILITARY IAP
2025/03/20,AINSWORTH VOR/DME*NE,1,NE,US,IAP
2025/03/20,AINSWORTH VOR/DME*NE,2,NE,US,IAP
2025/03/20,AIRBE LOM*KY,1,KY,US,MILITARY IAP
2025/03/20,AIRBE LOM*KY,2,KY,US,MILITARY IAP
2025/03/20,AIRLI LOM*NC,1,NC,US,IAP
2025/03/20,AIROW WP*VA*K6,1,VA,US,STAR
2025/03/20,AJADI WP*NE*K3,1,NE,US,IAP
2025/03/20,AJBUF WP*NE*K3,1,NE,US,IAP
2025/03/20,AJCIZ WP*NE*K3,1,NE,US,IAP
2025/03/20,AJDIF WP*MI*K5,1,MI,US,IAP
2025/03/20,AJDUX WP*GA*K7,1,GA,US,IAP
2025/03/20,AJEPO WP*WI*K5,1,WI,US,IAP
2025/03/20,AJETU WP*NM*K2,1,NM,US,IAP
2025/03/20,AJFEF WP*OH*K5,1,OH,US,IAP
2025/03/20,AJIPO WP*IL*K5,1,IL,US,SPECIAL IAP
2025/03/20,AJJAY WP*ME*K6,1,ME,US,STAR
2025/03/20,AJJIT WP*KY*K5,1,KY,US,SPECIAL IAP
2025/03/20,AJKAV WP*NC*K7,1,NC,US,SPECIAL IAP
2025/03/20,AJLIP WP*FL*K7,1,FL,US,IAP
2025/03/20,AJOFY WP*AK*PA,1,AK,US,NOT REQUIRED
2025/03/20,AJQUR WP*MO*K3,1,MO,US,IAP
2025/03/20,AJUBA WP*IL*K5,1,IL,US,IAP
2025/03/20,AKAKE WP*WI*K5,1,WI,US,IAP
2025/03/20,AKALE WP*NC*K7,1,NC,US,SPECIAL IAP
2025/03/20,AKDMY INT*CA*K2,1,CA,US,MILITARY IAP
2025/03/20,AKEKE WP*MT*K1,1,MT,US,IAP
2025/03/20,AKEKY WP*TX*K4,1,TX,US,IAP
2025/03/20,AKELT WP*AK*PA,1,AK,US,IAP
2025/03/20,AKEPE WP*OH*K5,1,OH,US,IAP
2025/03/20,AKESE WP*OK*K4,1,OK,US,IAP
2025/03/20,AKGEF WP*OH*K5,1,OH,US,SPECIAL IAP
2025/03/20,AKICA WP*IN*K5,1,IN,US,IAP
2025/03/20,AKICE WP*WY*K1,1,WY,US,IAP
2025/03/20,AKIGE WP*NE*K3,1,NE,US,IAP
2025/03/20,AKIRE WP*MN*K3,1,MN,US,IAP
2025/03/20,AKORD INT*CA*K2,1,CA,US,MILITARY IAP
2025/03/20,AKOYU WP*TN*K7,1,TN,US,NOT REQUIRED
2025/03/20,AKPUC WP*OH*K5,1,OH,US,IAP
2025/03/20,AKQON INT*VA*K6,1,VA,US,IAP
2025/03/20,AKQON WP*VA*K6,2,VA,US,IAP
2025/03/20,AKRMN WP*MS*K7,1,MS,US,IAP
2025/03/20,AKRON LOM*OH,1,OH,US,IAP
2025/03/20,AKRON LOM*OH,2,OH,US,IAP
2025/03/20,AKRON VOR/DME*CO,1,CO,US,IAP
2025/03/20,AKRON VOR/DME*OH,1,OH,US,IAP
2025/03/20,AKRON VOR/DME*OH,2,OH,US,IAP
2025/03/20,AKRON VOR/DME*OH,3,OH,US,IAP
2025/03/20,AKRON VOR/DME*OH,4,OH,US,IAP
2025/03/20,AKRON VOR/DME*OH,5,OH,US,IAP
2025/03/20,AKRON VOR/DME*OH,6,OH,US,IAP
2025/03/20,AKRON VOR/DME*OH,7,OH,US,IAP
2025/03/20,AKUMY WP*AK*PA,1,AK,US,IAP
2025/03/20,AKUMY WP*AK*PA,1,AK,US,SID
2025/03/20,AKUYA WP*IN*K5,1,IN,US,IAP
2025/03/20,AKVIL INT*TX*K4,1,TX,US,IAP
2025/03/20,AKVOC WP*TX*K4,1,TX,US,SPECIAL IAP
2025/03/20,AKYAK WP*ME*K6,1,ME,US,IAP
2025/03/20,ALADE WP*IL*K5,1,IL,US,IAP
2025/03/20,ALAGE INT*MN*K3,1,MN,US,IAP
2025/03/20,ALAKE INT*IL*K5,1,IL,US,IAP
2025/03/20,ALAMM NDB*NC,1,NC,US,IAP
2025/03/20,ALAMOSA VORTAC*CO,1,CO,US,IAP
2025/03/20,ALAMOSA VORTAC*CO,2,CO,US,IAP
2025/03/20,ALAMOSA VORTAC*CO,2,CO,US,SID
2025/03/20,ALAMOSA VORTAC*CO,3,CO,US,IAP
2025/03/20,ALAMOSA VORTAC*CO,3,CO,US,SPECIAL DP
2025/03/20,ALAMOSA VORTAC*CO,4,CO,US,IAP
2025/03/20,ALANA INT*HI*PH,1,HI,US,IAP
2025/03/20,ALANA INT*HI*PH,1,HI,US,MILITARY IAP
2025/03/20,ALANA INT*HI*PH,3,HI,US,IAP
2025/03/20,ALANA WP*HI*PH,2,HI,US,IAP
2025/03/20,ALANE WP*AL*K7,1,AL,US,IAP
2025/03/20,ALBANY VORTAC*NY,1,NY,US,IAP
2025/03/20,ALBAS INT*CA*K2,1,CA,US,MILITARY IAP
2025/03/20,ALBAS WP*CA*K2,2,CA,US,MILITARY IAP
2025/03/20,ALBAS WP*CA*K2,3,CA,US,IAP
2025/03/20,ALBERT LEA VOR/DME*MN,1,MN,US,IAP
2025/03/20,ALBERT LEA VOR/DME*MN,2,MN,US,IAP
2025/03/20,ALBUQUERQUE VORTAC*NM,1,NM,US,IAP
2025/03/20,ALBUQUERQUE VORTAC*NM,1,NM,US,SID
2025/03/20,ALBUQUERQUE VORTAC*NM,2,NM,US,IAP
2025/03/20,ALCOS INT*WY*K1,1,WY,US,SID
2025/03/20,ALDAN INT*NC*K7,1,NC,US,IAP
2025/03/20,ALDAN INT*NC*K7,3,NC,US,IAP
2025/03/20,ALDAN WP*NC*K7,2,NC,US,STAR
2025/03/20,ALDER INT*WA*K1,1,WA,US,SID
2025/03/20,ALEUT WP*AK*PA,1,AK,US,IAP
2025/03/20,ALEUT WP*AK*PA,1,AK,US,SPECIAL IAP
2025/03/20,ALEXA INT*NC*K7,1,NC,US,IAP
2025/03/20,ALEXANDRIA VOR/DME*MN,1,MN,US,IAP
2025/03/20,ALEXANDRIA VORTAC*LA,1,LA,US,IAP
2025/03/20,ALEYU WP*MN*K3,1,MN,US,IAP
2025/03/20,ALFER WP*TX*K4,1,TX,US,SPECIAL IAP
2025/03/20,ALFOR WP*OR*K1,1,OR,US,IAP
2025/03/20,ALFRD WP*IN*K5,1,IN,US,IAP
2025/03/20,ALGER WP*LA*K4,1,LA,US,IAP
2025/03/20,ALGOA LOM*MO,1,MO,US,IAP
2025/03/20,ALGOE WP*SC*K7,1,SC,US,IAP
2025/03/20,ALGTR WP*NC*K7,1,NC,US,IAP
2025/03/20,ALGUM INT*KS*K3,1,KS,US,MILITARY IAP
2025/03/20,ALGUY INT*NC*K7,1,NC,US,MILITARY IAP
2025/03/20,ALIAS WP*OH*K5,1,OH,US,IAP
2025/03/20,ALIBI LOM*TX,1,TX,US,IAP
2025/03/20,ALICE VOR*TX,1,TX,US,IAP
2025/03/20,ALICE VOR*TX,2,TX,US,IAP
2025/03/20,ALICS WP*FL*K7,1,FL,US,IAP
2025/03/20,ALIEF INT*TX*K4,1,TX,US,STAR
2025/03/20,ALIEF WP*TX*K4,2,TX,US,STAR
2025/03/20,ALINN WP*NC*K7,1,NC,US,ENROUTE HIGH
2025/03/20,ALIRE WP*ME*K6,1,ME,US,SPECIAL IAP
2025/03/20,ALIXE INT*CA*K2,1,CA,US,MILITARY IAP
2025/03/20,ALIXX INT*CT*K6,1,CT,US,STAR
2025/03/20,ALIYO WP*OH*K5,1,OH,US,SPECIAL IAP
2025/03/20,ALKAL WP*ID*K1,1,ID,US,IAP
2025/03/20,ALLAH WP*PA*K6,1,PA,US,IAP
2025/03/20,ALLEE INT*MS*K7,1,MS,US,MILITARY IAP
2025/03/20,ALLEGHENY VOR/DME*PA,1,PA,US,IAP
2025/03/20,ALLEGHENY VOR/DME*PA,2,PA,US,IAP
2025/03/20,ALLEGHENY VOR/DME*PA,3,PA,US,IAP
2025/03/20,ALLEGHENY VOR/DME*PA,4,PA,US,IAP
2025/03/20,ALLEGHENY VOR/DME*PA,5,PA,US,IAP
2025/03/20,ALLEN LOM*MS,1,MS,US,IAP
2025/03/20,ALLENDALE VOR*SC,1,SC,US,IAP
2025/03/20,ALLENTOWN VORTAC*PA,1,PA,US,MILITARY IAP
2025/03/20,ALLENTOWN VORTAC*PA,2,PA,US,IAP
2025/03/20,ALLENTOWN VORTAC*PA,3,PA,US,NOT REQUIRED
2025/03/20,ALLER LOM*NC,1,NC,US,IAP
2025/03/20,ALLER LOM*NC,2,NC,US,IAP
2025/03/20,ALLIANCE VOR/DME*NE,1,NE,US,IAP
2025/03/20,ALLIANCE VOR/DME*NE,2,NE,US,IAP
2025/03/20,ALLIANCE VOR/DME*NE,3,NE,US,IAP
2025/03/20,ALLIS INT*AZ*K2,1,AZ,US,NOT REQUIRED
2025/03/20,ALMAA WP*VA*K6,1,VA,US,IAP
2025/03/20,ALMAS INT*KS*K3,1,KS,US,IAP
2025/03/20,ALMND LOM*AR,1,AR,US,IAP
2025/03/20,ALMON WP*AZ*K2,1,AZ,US,IAP
2025/03/20,ALMON WP*AZ*K2,2,AZ,US,SID
2025/03/20,ALMOW WP*AR*K4,1,AR,US,IAP
2025/03/20,ALMST WP*CA*K2,1,CA,US,STAR
2025/03/20,ALPENA VORTAC*MI,1,MI,US,IAP
2025/03/20,ALPOE INT*CO*K2,1,CO,US,STAR
2025/03/20,ALQAZ WP*IN*K5,1,IN,US,IAP
2025/03/20,ALSKA WP*AK*PA,1,AK,US,IAP
2025/03/20,ALTAM INT*CA*K2,1,CA,US,AREA
2025/03/20,ALTAM INT*CA*K2,1,CA,US,ENROUTE LOW
2025/03/20,ALTAM INT*CA*K2,2,CA,US,IAP
2025/03/20,ALVIN INT*FL*K7,1,FL,US,ENROUTE LOW
2025/03/20,ALVUS WP*MI*K5,1,MI,US,IAP
2025/03/20,ALWOOD NDB*NC,1,NC,US,IAP
2025/03/20,ALWYS WP*CA*K2,1,CA,US,STAR
2025/03/20,ALWYZ INT*VA*K6,1,VA,US,STAR
2025/03/20,ALWYZ WP*VA*K6,2,VA,US,STAR
2025/03/20,AMABE WP*IA*K3,1,IA,US,IAP
2025/03/20,AMAKE WP*NC*K7,1,NC,US,SPECIAL IAP
2025/03/20,AMAKR WP*CA*K2,1,CA,US,IAP
2025/03/20,AMAKR WP*CA*K2,2,CA,US,STAR
2025/03/20,AMAPE WP*TX*K4,1,TX,US,IAP
2025/03/20,AMASON NDB*TX,1,TX,US,NOT REQUIRED
2025/03/20,AMAVE WP*OR*K1,1,OR,US,IAP
2025/03/20,AMAXE INT*ND*K3,1,ND,US,MILITARY IAP
2025/03/20,AMAZON NDB*MO,1,MO,US,IAP
2025/03/20,AMAZON NDB*MO,1,MO,US,MILITARY IAP
2025/03/20,AMBASSADOR NDB*TX,1,TX,US,IAP
2025/03/20,AMBEY INT*SC*K7,1,SC,US,IAP
2025/03/20,AMBRY WP*VA*K6,1,VA,US,SPECIAL IAP
2025/03/20,AMDEE INT*MI*K5,1,MI,US,IAP
2025/03/20,AMDUY INT*AZ*K2,1,AZ,US,MILITARY IAP
2025/03/20,AMEBY WP*CA*K2,1,CA,US,IAP
2025/03/20,AMEDEE VOR/DME*CA,1,CA,US,SID
2025/03/20,AMEDEE VOR/DME*CA,2,CA,US,IAP
2025/03/20,AMERY WP*HI*PH,1,HI,US,IAP
2025/03/20,AMFIB INT*CA*K2,2,CA,US,MILITARY IAP
2025/03/20,AMFIB INT*CA*K2,3,CA,US,MILITARY IAP
2025/03/20,AMFIB WP*CA*K2,1,CA,US,MILITARY IAP
2025/03/20,AMIDY WP*NJ*K6,1,NJ,US,IAP
2025/03/20,AMIFA WP*NE*K3,1,NE,US,IAP
2025/03/20,AMILY WP*MN*K3,1,MN,US,IAP
2025/03/20,AMIRE INT*ND*K3,1,ND,US,MILITARY IAP
2025/03/20,AMIVY WP*NE*K3,1,NE,US,IAP
2025/03/20,AMMMO WP*TX*K4,1,TX,US,STAR
2025/03/20,AMNIA WP*AK*PA,1,AK,US,IAP
2025/03/20,AMNIO WP*OH*K5,1,OH,US,IAP
2025/03/20,AMOHO WP*CO*K2,1,CO,US,IAP
2025/03/20,AMORE INT*NY*K6,1,NY,US,IAP
2025/03/20,AMOSS INT*VA*K6,2,VA,US,IAP
2025/03/20,AMOSS WP*VA*K6,1,VA,US,IAP
2025/03/20,AMOTT INT*AK*PA,1,AK,US,STAR
2025/03/20,AMPEY WP*MI*K5,1,MI,US,IAP
2025/03/20,AMPLE INT*WA*K1,1,WA,US,NOT REQUIRED
2025/03/20,AMRTN WP*MD*K6,1,MD,US,IAP
2025/03/20,AMTAH WP*NE*K3,1,NE,US,IAP
2025/03/20,AMTRA INT*CA*K2,1,CA,US,IAP
2025/03/20,AMTRA INT*CA*K2,3,CA,US,IAP
2025/03/20,AMTRA WP*CA*K2,2,CA,US,NOT REQUIRED
2025/03/20,AMTRA WP*CA*K2,4,CA,US,IAP
2025/03/20,AMULE WP*AK*PA,1,AK,US,SPECIAL IAP
2025/03/20,AMURE WP*MT*K1,1,MT,US,IAP
2025/03/20,AMUXY WP*AL*K7,1,AL,US,IAP
2025/03/20,AMXUX WP*MI*K5,1,MI,US,IAP
2025/03/20,AMYLU WP*SC*K7,1,SC,US,STAR
2025/03/20,ANCOR WP*ME*K6,1,ME,US,IAP
2025/03/20,ANCUT WP*IL*K5,1,IL,US,IAP
2025/03/20,ANDEI WP*NC*K7,1,NC,US,IAP
2025/03/20,ANDES INT*HI*PH,1,HI,US,IAP
2025/03/20,ANDES WP*HI*PH,2,HI,US,IAP
2025/03/20,ANDIA WP*TX*K4,1,TX,US,SPECIAL IAP
2025/03/20,ANDII INT*OH*K5,2,OH,US,MILITARY IAP
2025/03/20,ANDII WP*OH*K5,1,OH,US,IAP
2025/03/20,ANDOZ WP*VA*K6,1,VA,US,MILITARY IAP
2025/03/20,ANDOZ WP*VA*K6,2,VA,US,MILITARY IAP
2025/03/20,ANEPE WP*WI*K5,1,WI,US,IAP
2025/03/20,ANERE INT*DE*K6,1,DE,US,MILITARY IAP
2025/03/20,ANESE WP*AK*PA,1,AK,US,IAP
2025/03/20,ANETT WP*KY*K5,1,KY,US,IAP
2025/03/20,ANFEY WP*MN*K3,1,MN,US,IAP
2025/03/20,ANGEE INT*FL*K7,1,FL,US,IAP
2025/03/20,ANGEE WP*FL*K7,2,FL,US,IAP
2025/03/20,ANGER LOM*LA,1,LA,US,IAP
2025/03/20,ANGIL WP*MT*K1,1,MT,US,SID
2025/03/20,ANGIL WP*MT*K1,2,MT,US,IAP
2025/03/20,ANGLS WP*AL*K7,1,AL,US,IAP
2025/03/20,ANIAK NDB*AK,1,AK,US,IAP
2025/03/20,ANICU WP*GA*K7,1,GA,US,IAP
2025/03/20,ANIER INT*NH*K6,1,NH,US,IAP
2025/03/20,ANIJE WP*NY*K6,1,NY,US,IAP
2025/03/20,ANIKE WP*TX*K4,1,TX,US,SPECIAL IAP
2025/03/20,ANIML WP*MN*K3,1,MN,US,IAP
2025/03/20,ANIMY WP*MN*K3,1,MN,US,IAP
2025/03/20,ANJEE INT*CA*K2,1,CA,US,STAR
2025/03/20,ANJEE WP*CA*K2,2,CA,US,NOT REQUIRED
2025/03/20,ANJIE INT*TX*K4,1,TX,US,MILITARY IAP
2025/03/20,ANJLL WP*CA*K2,1,CA,US,STAR
2025/03/20,ANKEN INT*IA*K3,1,IA,US,IAP
2025/03/20,ANNAS INT*VA*K6,1,VA,US,IAP
2025/03/20,ANNAY INT*IL*K5,1,IL,US,IAP
2025/03/20,ANNEM WP*MT*K1,1,MT,US,IAP
2025/03/20,ANNETTE ISLAND VOR/DME*AK,1,AK,US,SPECIAL IAP
2025/03/20,ANNETTE ISLAND VOR/DME*AK,2,AK,US,IAP
2025/03/20,ANNETTE ISLAND VOR/DME*AK,3,AK,US,IAP
2025/03/20,ANNETTE ISLAND VOR/DME*AK,4,AK,US,SPECIAL IAP
2025/03/20,ANNEX WP*OH*K5,1,OH,US,IAP
2025/03/20,ANNNE INT*CO*K2,1,CO,US,MILITARY IAP
2025/03/20,ANNNE WP*CO*K2,2,CO,US,MILITARY IAP
2025/03/20,ANNUL WP*DE*K6,1,DE,US,MILITARY IAP
2025/03/20,ANNVA WP*OA*K,1,OA,US,ENROUTE HIGH
2025/03/20,ANOTE INT*CA*K2,1,CA,US,MILITARY IAP
2025/03/20,ANQUM WP*KS*K3,1,KS,US,IAP
2025/03/20,ANSOW WP*AK*PA,1,AK,US,IAP
2025/03/20,ANTEN INT*PR*TJ,1,PR,US,IAP
2025/03/20,ANTHM WP*MD*K6,1,MD,US,STAR
2025/03/20,ANTMN INT*NY*K6,1,NY,US,STAR
2025/03/20,ANTNY WP*VA*K6,1,VA,US,IAP
2025/03/20,ANTTI INT*IN*K5,2,IN,US,IAP
2025/03/20,ANTTI WP*IN*K5,1,IN,US,IAP
2025/03/20,ANTUA INT*FL*K7,1,FL,US,MILITARY IAP
2025/03/20,ANTUA WP*FL*K7,2,FL,US,MILITARY IAP
2025/03/20,ANTUA WP*FL*K7,3,FL,US,MILITARY IAP
